# Multivoid release ledger -- the SINGLE MINT AUTHORITY for build numbers
# (dev AND stable). Append-only; HUMAN-written; lives in the repo's own
# history because platform objects (tags, releases) are deletable and cannot
# hold an append-only invariant. Tags/releases are drift detectors only.
# Design: research/findings/tooling/votv-ci-autobuild-dev-release-DESIGN-2026-07-25.md section 3 D3.
#
# Row = 6 TAB-separated fields:
#   kind	N	game	tagName	sourceSha	date
# kind: consume   = mint expectation (written with the tag, pushed --atomic)
#       published = human-appended closure after verifying the release page
#       burn      = never-published number killed        (TERMINAL forever)
#       retracted = published-then-deleted (bytes public) (TERMINAL forever)
# TERMINAL rows are PUSH-IMMEDIATE; the published row may ride the next
# leak-audited push. An empty ledger is a valid start.
consume	125	0.9.0n	v0.9.0n-b125-dev	b4af7329dbf7a64d9eb4656cfe252be8376d5deb	2026-07-25
published	125	0.9.0n	v0.9.0n-b125-dev	b4af7329dbf7a64d9eb4656cfe252be8376d5deb	2026-07-25
retracted	125	0.9.0n	v0.9.0n-b125-dev	b4af7329dbf7a64d9eb4656cfe252be8376d5deb	2026-07-25
consume	126	0.9.0n	v0.9.0n-b126-dev	7f1765ea786fb1ad492ad361a11c85d313a049df	2026-07-25
published	126	0.9.0n	v0.9.0n-b126-dev	7f1765ea786fb1ad492ad361a11c85d313a049df	2026-07-25
consume	127	0.9.0n	v0.9.0n-b127-dev	b464125dc54ec5cc0a0ce1992eacb9d92a7e96f5	2026-07-25
published	127	0.9.0n	v0.9.0n-b127-dev	b464125dc54ec5cc0a0ce1992eacb9d92a7e96f5	2026-07-26
consume	128	0.9.0n	v0.9.0n-b128-dev	5564685eb9d148890e338ef3ffebdc3981c890dc	2026-07-26
published	128	0.9.0n	v0.9.0n-b128-dev	5564685eb9d148890e338ef3ffebdc3981c890dc	2026-07-26
consume	133	0.9.0n	v0.9.0n-b133-dev	2f32d1affb9bdf10447d9145c166b4832d1e449f	2026-07-31
published	133	0.9.0n	v0.9.0n-b133-dev	2f32d1affb9bdf10447d9145c166b4832d1e449f	2026-07-31
consume	150	0.9.0n	v0.9.0n-b150-dev	ba6d8c39d64a48a6262565208bafacad306c6e1e	2026-09-01
